Dataset,Execucao,exceptionality,#sg,length,sgCov,setCov,description redundancy,coverage redundancy,CR,model redundancy
cancer,18,0.7,10.0,2.0,0.49,0.98,0.03,0.61,0.44,0.42
cancer,19,0.9,10.0,1.8,0.46,0.98,0.09,0.59,0.4,0.6
cancer,20,0.7,10.0,2.2,0.58,0.97,0.18,0.82,0.54,0.91
cancer,21,0.8,10.0,2.0,0.48,1.0,0.11,0.62,0.43,0.6
cancer,22,0.6,10.0,2.1,0.51,0.96,0.13,0.79,0.46,0.91
cancer,23,0.9,10.0,2.0,0.54,1.0,0.09,0.68,0.49,0.64
cancer,24,0.8,10.0,1.6,0.49,1.0,0.04,0.63,0.44,0.56
cancer,25,1.0,10.0,2.0,0.5,1.0,0.09,0.58,0.45,0.44
cancer,26,0.9,10.0,1.7,0.46,0.98,0.13,0.6,0.4,0.78
cancer,27,0.9,10.0,1.8,0.45,1.0,0.06,0.57,0.38,0.64
cancer,28,0.8,10.0,2.3,0.51,0.96,0.15,0.73,0.46,0.93
cancer,29,0.7,10.0,1.6,0.47,0.92,0.07,0.65,0.42,0.73
carcinoma,0,1.0,10.0,2.4,0.53,0.98,0.16,0.6,0.48,0.58
carcinoma,1,1.0,10.0,2.3,0.54,0.86,0.35,0.78,0.5,1.0
carcinoma,2,1.0,10.0,2.4,0.53,0.99,0.11,0.59,0.48,0.58
carcinoma,3,1.0,10.0,2.5,0.54,0.99,0.23,0.62,0.49,0.64
carcinoma,4,1.0,10.0,2.3,0.54,0.86,0.21,0.71,0.51,1.0
carcinoma,5,1.0,10.0,2.5,0.53,0.98,0.21,0.66,0.48,0.73
carcinoma,6,1.0,10.0,2.2,0.53,0.86,0.33,0.77,0.5,0.96
carcinoma,7,1.0,10.0,2.4,0.53,0.98,0.2,0.63,0.48,0.71
carcinoma,8,1.0,10.0,2.4,0.53,0.87,0.3,0.71,0.49,0.93
carcinoma,9,1.0,10.0,2.3,0.54,0.8,0.46,0.83,0.51,1.0
carcinoma,10,1.0,10.0,2.5,0.53,0.98,0.14,0.64,0.48,0.71
carcinoma,11,1.0,10.0,2.4,0.54,0.97,0.35,0.73,0.49,0.8
carcinoma,12,1.0,10.0,2.6,0.53,0.84,0.26,0.72,0.5,0.93
carcinoma,13,1.0,10.0,2.1,0.53,0.84,0.34,0.78,0.5,0.96
carcinoma,14,1.0,10.0,2.1,0.53,0.86,0.2,0.69,0.49,0.91
carcinoma,15,1.0,10.0,2.3,0.53,0.86,0.25,0.7,0.5,0.91
carcinoma,16,1.0,10.0,2.3,0.54,0.98,0.36,0.72,0.49,0.8
carcinoma,17,1.0,10.0,2.2,0.53,0.86,0.25,0.72,0.49,0.93
carcinoma,18,1.0,10.0,2.3,0.54,0.8,0.48,0.83,0.51,1.0
carcinoma,19,1.0,10.0,2.2,0.53,0.86,0.26,0.72,0.5,0.96
carcinoma,20,1.0,10.0,2.2,0.53,0.84,0.36,0.78,0.5,0.96
carcinoma,21,1.0,10.0,2.5,0.54,0.8,0.54,0.83,0.51,1.0
carcinoma,22,1.0,10.0,2.2,0.53,0.84,0.42,0.84,0.5,0.98
carcinoma,23,1.0,10.0,2.3,0.54,0.86,0.34,0.76,0.5,1.0
carcinoma,24,1.0,10.0,2.5,0.54,0.98,0.29,0.66,0.49,0.64
carcinoma,25,1.0,10.0,2.3,0.54,0.8,0.37,0.78,0.51,1.0
carcinoma,26,1.0,10.0,2.4,0.54,0.86,0.3,0.72,0.5,1.0
carcinoma,27,1.0,10.0,2.3,0.54,0.98,0.36,0.75,0.49,0.8
carcinoma,28,1.0,10.0,2.4,0.54,0.86,0.34,0.76,0.5,1.0
carcinoma,29,1.0,10.0,2.5,0.54,0.8,0.36,0.74,0.51,1.0
mgus2,0,1.0,10.0,2.1,0.56,0.93,0.27,0.72,0.52,0.27
mgus2,1,1.0,10.0,1.9,0.56,0.95,0.14,0.7,0.52,0.2
mgus2,2,1.0,10.0,1.9,0.58,0.96,0.2,0.71,0.54,0.33
mgus2,3,1.0,10.0,1.8,0.56,0.98,0.2,0.67,0.51,0.24
mgus2,4,1.0,10.0,1.9,0.56,0.99,0.09,0.67,0.51,0.29
mgus2,5,1.0,10.0,1.8,0.56,0.97,0.13,0.67,0.51,0.24
mgus2,6,1.0,10.0,1.9,0.56,1.0,0.19,0.63,0.51,0.16
mgus2,7,1.0,10.0,1.7,0.55,0.99,0.14,0.63,0.51,0.27
mgus2,8,1.0,10.0,1.8,0.58,0.99,0.17,0.68,0.53,0.38
mgus2,9,1.0,10.0,1.9,0.57,0.97,0.12,0.71,0.53,0.18
mgus2,10,1.0,10.0,2.0,0.57,0.89,0.3,0.75,0.53,0.36
mgus2,11,1.0,10.0,1.7,0.56,0.99,0.08,0.64,0.51,0.31
mgus2,12,1.0,10.0,1.9,0.58,0.96,0.22,0.7,0.53,0.36
mgus2,13,1.0,10.0,2.1,0.55,0.92,0.16,0.7,0.51,0.18
mgus2,14,1.0,10.0,1.8,0.56,0.95,0.1,0.68,0.51,0.16
mgus2,15,1.0,10.0,2.1,0.57,0.95,0.17,0.73,0.52,0.18
mgus2,16,1.0,10.0,1.9,0.57,0.97,0.11,0.69,0.52,0.22
mgus2,17,1.0,10.0,1.8,0.58,0.97,0.14,0.7,0.54,0.33
mgus2,18,1.0,10.0,1.7,0.55,0.96,0.16,0.68,0.5,0.27
mgus2,19,1.0,10.0,2.1,0.57,0.91,0.13,0.73,0.53,0.11
mgus2,20,1.0,10.0,1.9,0.59,0.98,0.3,0.71,0.54,0.31
mgus2,21,1.0,10.0,1.8,0.57,0.94,0.12,0.7,0.53,0.18
mgus2,22,1.0,10.0,1.9,0.58,0.96,0.21,0.72,0.54,0.24
mgus2,23,1.0,10.0,1.7,0.55,0.98,0.08,0.64,0.5,0.36
mgus2,24,1.0,10.0,1.9,0.56,0.93,0.24,0.7,0.52,0.29
mgus2,25,1.0,10.0,1.9,0.58,0.95,0.25,0.72,0.54,0.29
mgus2,26,1.0,10.0,1.8,0.57,0.98,0.17,0.68,0.52,0.27
mgus2,27,1.0,10.0,1.9,0.57,0.98,0.25,0.69,0.52,0.24
mgus2,28,1.0,10.0,1.8,0.57,0.99,0.14,0.68,0.52,0.11
mgus2,29,1.0,10.0,1.8,0.56,0.95,0.09,0.68,0.52,0.18
